"PLACE_NAME_MAPPING","PLACE_NAME_GAZETTEER","ALTITUDE","COMMENTS","COUNTRY_NAME","FEATURE_TYPE_NAME","GAZ_ID","GAZETTEER","LATITUDE","LONGITUDE","NAMED_FOR","NARRATIVE","SCAR_COMMON_ID","SCAR_MAP_CAT_ID","SOURCE_COUNTRY_CODE","SOURCE_IDENTIFIER","SOURCE_NAME","SOURCE_PUBLISHER","SOURCE_SCALE","RELIC_FLAG","AUS_DISPLAY_SCALE_20M","AUS_DISPLAY_SCALE_10M","AUS_DISPLAY_SCALE_5M","AUS_DISPLAY_SCALE_2M","AUS_DISPLAY_SCALE_1M","AUS_DISPLAY_SCALE_500K","AUS_DISPLAY_SCALE_250K","AUS_DISPLAY_SCALE_100K","AUS_DISPLAY_SCALE_50K","AUS_DISPLAY_SCALE_25K","AUS_DISPLAY_SCALE_10K","AUS_DISPLAY_SCALE_5K","AUS_DISPLAY_SCALE_1K"
"Pioneer Tarn","Pioneer Tarn",,,"Australia","Water body",138313,"AUS",-53.15641,73.43987,"On two voyages (1855-57 and 1857-59), the 235 ton bark <I>Pioneer</I> was engaged in sealing journeys to Heard Island from its homeport in New London, United States. In 1859, the <I>Pioneer’s</I> tender the <I>R. B. Coleman</I> was wrecked at Spit Bay. ","A tarn located approximately 450 metres east of Cape Arkona, south western Heard Island. It emerged as a prominent geographical feature following the retreat of Lied Glacier and Gotley Glacier.",,,,,"WorldView2",,"50,000",0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Pionerskiy Dome","Pionerskiy Dome",,,"Australia","Dome",396,"AUS",-73.9833,73.1333,,"An ice dome about 115 km south of the Grove Mountains.  Discovered by the Soviet Antarctic Expedition in 1958 and called Pionerskiy Kupol (Pionerskiy Dome).",11306,,"AUS",,,,,0,"No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Piramidalnaya Hill","Piramidalnaya Hill",158,"Altidtdue from Russian map Q-47_82_B (SCAR map cat 2986)","Australia","Hill",681,"AUS",-66.283,100.687027778,,"Bunger Hills.  Charted by the SAE in 1956.",11314,,"AUS","LIMA_E164_CIR_432_1X","Landsat Image Mosaic Antarctica (LIMA)","United States Geological Survey (USGS)",10000,0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No"
"Platcha","Platcha",5,"Metadata for coordinates and origin of topographic data.","Australia","AWS",2493,"AUS",-68.5116111198,78.5121111843,"The name, given by the Davis party, is an abbreviation of Plateau Chateau.","A remote weather station about 31 km east of Davis station, Vestfold Hills. The remote station was established by an ANARE party led by Dr. M. Hay in April-May, 1961.",11346,,,,"Vestfold Hills Topographic GIS Dataset","Australian Antarctic Division",5000,0,"No","No","No","No","No","No","No","Yes","Yes","Yes","No","No","No"
"Pleasant Plateau","Pleasant Plateau",,,"Australia","Plateau",2130,"AUS",-79.5,158.3333,,"A somewhat isolated, ice-free area, in the middle of the Brown Hills, most of which can be viewed from it.  Discovered by the Victoria University of Wellington Antarctic Expedition (1962-63), who so named it because of the agreeable weather encountered there on each occasion on which the area was visited.",11356,,"AUS",,,,,0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Plough Island","Plough Island",54,"Metadata for coordinates and origin of topographic data.","Australia","Island",897,"AUS",-68.5344999271,78.0059999363,,"A small island about 2 km long, off Broad Peninsula in the central part of the Vestfold Hills. Mapped by Norwegian cartographers from air photographs taken by the Lars Christensen Expedition (1936-37) and called Plogøy (Plough Island.",11364,,"AUS","vest_hills_gis","Vestfold Hills Topographic GIS Dataset","Australian Antarctic Division",5000,0,"No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No"
"Plough Lake","Plough Lake",,,"Australia","Water body",2605,"AUS",-67.4265277778,59.4315277778,"Named for its shape which resembles an old fashioned plough blade.","A lake measuring about 0.8 by 0.3 kms about 1.3 kms east from Kemp Peak.  The lake is roughly triangular in shape.  It drains from it northern end into Stillwell Lake via a channel that flows infrequently.",18725,,,,"Landsat 7","USGS",20000,0,"No","No","No","No","No","No","No","No","Yes","Yes","Yes","No","No"
"Plumstead Valley","Plumstead Valley",,,"Australia","Valley",2533,"AUS",-76.6333,159.85,"Dr. E.P. Plumstead for her work on Glossopteris fossils","A valley at the northern end of Shipton Ridge, east of Kirkcaldy Spur in the Allan Hills.  Discovered by NZARP Allan Hills Expedition (1964).  Named after Dr. E.P. Plumstead for her work on Glossopteris fossils, especially those from Antarctica.",11376,,"AUS",,,,,0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Pluton Island","Pluton Island",,,"Australia","Island",794,"AUS",-66.0599722222,101.172833333,,"Bunger Hills.  Charted by the SAE in 1956.",11379,,,,"LIMA","USGS",,0,"No","No","No","No","No","No","No","Yes","Yes","No","No","No","No"
"Point Alden","Alden, Point",,,"Australia","Point",2187,"AUS",-66.8,142.033305556,,"An ice-covered point with rock exposures along its seaward side, about 22 km north-west of Cape Hunter in George V Land.  Discovered on 30 January, 1930, by the US Exploring Expedition (1838-42), under Wilkes, who named it after Lieut. James Alden of the expedition's flagship <i>Vincennes</i>.",184,,"AUS",,,,,0,"Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Point Appleby","Appleby, Point",,,"Australia","Point",2155,"AUS",-67.4071111111,59.6044722222,,"A point on an island on the eastern side of William Scoresby Bay.",450,,"AUS","E150_CIR_432_1X","Landsat Image Mosaic Antarctica (LIMA)","United States Geological Survey (USGS)",20000,0,"No","No","No","No","No","No","No","Yes","Yes","Yes","No","No","No"
"Point Noble","Noble, Point",,"Located by description,aerial photo and sat image.","Australia","Point",2170,"AUS",-67.3420833333,59.47325,,"A point on the western side of William Scoresby Bay, in Kemp Land.  Discovered and named by the William Scoresby Expedition in February, 1936.",10326,,"AUS","LIMA E149_CIR_432_1X","Landsat Image Mosaic Antarctica (LIMA)","United States Geological Survey (USGS)",20000,0,"No","No","No","No","No","No","No","Yes","Yes","Yes","No","No","No"
"Point Widdows","Widdows, Point",,,"Australia","Point",2190,"AUS",-67.69075,45.3932777778,"Named after Edmund Ian Widdows, meteorologist at Mawson in 1959.","A point on a low, dark, rock outcrop on the coast of Enderby Land, west of Freeth Bay.  Plotted from air photographs taken from ANARE aircraft in 1956.  First visited by an airborne survey party led by S.L. Kirkby in 1960.",16010,,,,"LIMA - Landasat Imagery Mosaic Antarctica","USGS",50000,0,"No","No","No","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Point Williams","Williams, Point",,,"Australia","Point",2189,"AUS",-67.8218888889,67.5978611111,,"A point on the Lars Christensen Coast, on the eastern side of Shallow Bay.  Discovered on 12 February, 1931, by BANZARE under Sir Douglas Mawson, who named it after A.J. Williams, wireless operator on the <I>Discovery</I>.",16097,,"AUS","LIM_E151_CIR_432_1","Landsat Image Mosaic Antarctica (LIMA)","United States Geological Survey (USGS)",20000,0,"No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Point Zip","Zip, Point",,,"Australia","Point",138301,"AUS",-66.63667,95.72417,"This feature was named in 2018 in recognition of the dog that served on the AAE. 'Zip', was named by Lieut. B.E.S. Ninnis, RF, a member of the AAE who lost his life during the far-east sledge journey. Ninnis named the dog in honour of one of his closest friends Lieut. H.E. Meade whose nickname was 'Zip'.","A piece of land projecting into the Shackleton Ice Shelf, 31km west of Cape Moyes. In March 1912, the first Western Base sledging journey with the dogs aimed to lay a depot to lessen the outgoing load of the eastern exploration planned for later that year.",19877,14050,,,"2003 AAT coastline topo dataset ","Unknown",,0,"No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Polar Record Glacier","Polar Record Glacier",,,"Australia","Glacier",475,"AUS",-69.7629,75.4313,,"A glacier flowing north-west, about 40 to 50 km south-west of the Larsemann Hills, Princess Elizabeth Land.  Delineated from air photographs taken by USN Operation Highjump (1946-47).",11411,,,,,,,0,"Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Polar Times Glacier","Polar Times Glacier",,,"Australia","Glacier",602,"AUS",-69.8833055556,74.55,,"A glacier flowing north-east just east of Mt. Caroline Mikkelsen in Princess Elizabeth Land.  Delineated from air photographs taken by USN Operation Highjump (1946-47).Named after the <i>Polar Times</i>, a polar journal published by the American Polar Society of New York.",11414,,"AUS",,,,,0,"No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Polarärboken Glacier","Polarärboken Glacier",,,"Australia","Glacier",491,"AUS",-69.6386111111,75.7143888889,,"A glacier flowing WNW into the Publications Ice Shelf, about 17 km south-west of the Larsemann Hills on the Ingrid Christensen Coast.  Photographed by USN Operation Highjump (1946-47).  Sighted by members of the ANARE Prince Charles Mountains survey party in February, 1969.  Delineated and named in 1952 by Dr. J.H. Roscoe, photogrammetrist with Operation Highjump and USN Operation Windmill (1947-48). Named after Polarerboken, a polar journal published by the Norsk Polarklubb in Oslo, Norway.",11415,,"AUS",,,,,0,"No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Polarforschung Glacier","Polarforschung Glacier",,,"Australia","Glacier",473,"AUS",-69.8521111111,75.1143888889,,"A glacier flowing NNW just west of the Polar Record Glacier. Delineated from air photographs taken by USN Operation Highjump.Named after <i>Polarforschung</i>, a polar journal published by the Archiv f|r Polarforschung at Kiel, Germany.",11417,,"AUS",,,,,0,"No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Pologij Island","Pologij Island",,,"Australia","Island",758,"AUS",-66.032,101.169555556,,"Bunger Hills.  Charted by the SAE in 1956.",11444,,,,"LIMA","USGS",50000,0,"No","No","No","No","No","No","No","Yes","Yes","No","No","No","No"
"Polygon Gorge","Polygon Gorge",50,"Metadata for coordinates and origin of topographic data.","Australia","Gorge",624,"AUS",-68.6104,78.4795,"Named for its association with Polygon Valley.","A narrow south-north trending gorge from Polygon Valley to Crooked Lake in the Vestfold Hills.  It is about 600 m long, 10-15 m wide and up to 25 m deep.  This is the western of two gorges at this end of Crooked Lake.",11449,,"AUS","vest_hills_gis","Vestfold Hills Topographic GIS Dataset","Australian Antarctic Division",5000,0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Polygon Valley","Polygon Valley",70,"Metadata for coordinates and origin of topographic data.","Australia","Valley",2540,"AUS",-68.6151000045,78.4734000198,"The floor is more or less flat with superb polygonal patterned ground. The valley is named for this pattern.","The valley in the Vestfold Hills is between 100-200 m wide and is 1 km long trending SSW to NNE.",11451,,"AUS","vest_hills_gis","Vestfold Hills Topographic GIS Dataset","Australian Antarctic Division",5000,0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Pomerantz Tableland","Pomerantz Tableland",,,"Australia","Plateau",1291,"AUS",-70.6333055556,159.833305556,"Dr. M.A. Pomerantz","An ice-covered tableland about 16 km long, about 28 km north of Daniels Range. Plotted from air photographs taken by the US Navy in 1960-62.  Named after Dr. M.A. Pomerantz, Director of the Bartol Research Foundation and Chairman of the US Committee for the International Year of the Quiet Sun, who carried on cosmic ray studies in the McMurdo area in 1959-60 and 1960-61.",11455,,"AUS",,,,,0,"No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Poorman Peak","Poorman Peak",,,"Australia","Peak",1935,"AUS",-69.9463888889,159.258333333,,"A peak about 28 km south-east of Pope Mountain in Oates Land.  Mapped from air photographs taken by the US Navy.  Named after D.A. Poorman, aviation machinist's mate at McMurdo station during the winter of 1967.",11468,,"AUS",,"Landsat Image Mosaic Antarctica (LIMA)","USGS",40000,0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Pope Mountain","Pope Mountain",,,"Australia","Mountain",1490,"AUS",-69.7333,158.8333,"Lieut. T.J. Pope, USNR, navigator on US Navy aircraft during US Operation Deepfreeze 68","A mountain near the head of the Tomilin Glacier in Oates Land.  Mapped from air photographs taken by the US Navy.  Named after Lieut. T.J. Pope, USNR, navigator on US Navy aircraft during US Operation Deepfreeze 68.",11471,,"AUS",,,,,0,"No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Popp Island","Popp Island",,,"Australia","Island",1090,"AUS",-68.5096388889,151.955055556,,"A small island off the Cook Ice Shelf on the coast of George V Land.  Photographed by USN Operation Highjump (1946-47) and the Soviet Antarctic Expedition (1958).  Named by the Soviet Expedition after G. Kh. Popp, German meteorologist who perished in the Antarctic.",11475,,"AUS","E113_CIR_432_1X","Landsat Image Mosaic Antarctica (LIMA)","United States Geological Survey (USGS)",25000,0,"No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Porpoise Bay","Porpoise Bay",,,"Australia","Bay",124,"AUS",-66.5,128.5,,"An embayment about 170 km wide, between Cape Morse and Cape Goodenough, on the eastern end of Banzare Coast, in Wilkes Land.  The name Porpoise Bay was applied by Wilkes to a large bay in 66 degrees S., 130 degrees E. after the brig <i>Porpoise</i> of the US Exploring Expedition (1838-42).  The present bay was delineated from air photography taken by USN Operation Highjump (1946-47) and named Porpoise Bay by USACAN.",11479,,,,,,,0,"Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Porpoise Bay Colony","Porpoise Bay Colony",,,"Australia","Colony",140465,"AUS",-66.26,130.01,,"A colony of emperor penguins located on the fast ice at the southwestern side of the Blodgett Iceberg Tongue, BANZARE Coast, Wilkes Land. It was discovered by BAS from a satellite image taken in October 2017. Note: emperor penguin colonies may not remain in one fixed location.",20485,,,,,,,0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Porpoise Subglacial Highlands","Porpoise Subglacial Highlands",,,"Australia","Subglacial mountains",2514,"AUS",-69.5,134,"Named after the <i>Porpoise</i> (Lieutenant C Ringgold, USN) one of the ships of the United States Exploring Expedition 1838-42.","The highlands are located within the Australian Antarctic Territory near the eastern boundary with Terre Adilie.  They run N-S to the west of the Astrolabe Subglacial Basin and were discovered and mapped by radio echo sounding by the Scott Polar Research Institute.",11480,,,,,,,0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Portal Mountain","Portal Mountain",,,"Australia","Mountain",1467,"AUS",-78.1167,159.25,,"A large mountain with a broad ill-defined summit, due south of the Lashly Mountains, on the southern side of the main stream of the Skelton Glacier where it leaves the Polar Plateau. Discovered by the NZ party of TAE (1956-58) who named it because of its association with The Portal.",11484,,"AUS",,,,,0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Porter Ice Shelf","Porter Ice Shelf",,,"Australia","Ice shelf",735,"AUS",-67,49.3333,"Named after the Pilatus Porter aircraft which performed a significant amount of survey and logistics work in the area.","An ice shelf with an area of about 100 square km adjoining Amundsen Bay off the Sakellari Peninsula in Enderby Land.",11491,,,,,,,0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Porthos Range","Porthos Range",,,"Australia","Range",2243,"AUS",-70.4446944444,65.6551944444,,"The second range south in the Prince Charles Mountains.  Visited in December, 1956, by the ANARE southern party led by William G. Bewsher. Named after the character in Alexandre Dumas''s Three Musketeers.",11494,,"AUS",,,,,0,"No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Poryadin Island","Poryadin Island",," Map 1 in the management plan adopted in 2011 for Antarctic Specially Protected Area No. 127 was used as a reference to identify the island in the satellite image.","Australia","Island",1026,"AUS",-66.53825,92.984278,,"A small island about 2 km south of Haswell Island.  Plotted by the Soviet Antarctic Expedition, 1956, and named after J. Poryadin, navigator on the <I>Vostok</I>, flagship of the Bellingshausen Expedition (1819-1821).",11496,,,,,"DigitalGlobe",1500,0,"No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes"
"Posadowsky Bay","Posadowsky Bay",,,"Australia","Bay",123,"AUS",-66.7833,89.45,,"A wide-open embayment in the vicinity of Gaussberg, just east of the West Ice Shelf, in Wilhelm II Land.  Discovered by the German Antarctic Expedition (1901-03) under Drygalski.  Named after Count Arthur von Posadowsky-Wehner, German Imperial Home Secretary, who secured a government grant for Drygalski's expedition.",11498,,"AUS",,,,,0,"No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Posadowsky Bay Colony","Posadowsky Bay Colony",,,"Australia","Colony",140459,"AUS",-66.13,89.82,,"This emperor penguin colony is one of the first two breeding sites ever encountered, but it was not recognized as such. Both adults and chicks were sighted several times during the First German South Polar Expedition in 1902. Expeditioners from the Soviet Union sighted a colony in Posadowsky Bay several times in the 1960s. The colony was spotted in a satellite image in 2014. Note: emperor penguin colonies may not remain in one fixed location.",20479,,,,,,,0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Posadowsky Glacier","Posadowsky Glacier",,,"Australia","Glacier",474,"AUS",-66.8486111111,89.3888888889,,"A glacier just east of Gaussberg in Wilhelm II Land.  Mapped and photographed from the summit of Gaussberg by the German Antarctic Expedition (1901-03) under Drygalski.  Photographed by USN Operation Highjump (1946-47).  Named after Count Arthur Posadowsky-Wehner, German Imperial Home Secretary, who secured a government grant for Drygalski's expedition.",11499,,"AUS",,,,,0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Poseidon Basin","Poseidon Basin",0,"Metadata for coordinates and origin of topographic data.","Australia","Basin",35,"AUS",-68.6160000536,78.1521944669,"Named after the Greek God of the Sea as the basin has marine sediments in it.","A roughly oval-shaped basin in the Vestfold Hills with a lake in the bottom and cliffs all round.  The lake measures about 500 m wide and 1 km long.",11501,,"AUS","vest_hills_gis","Vestfold Hills Topographic GIS Dataset","Australian Antarctic Division",5000,0,"No","No","No","No","No","No","No","No","Yes","Yes","No","No","No"
"Possession Nunataks","Possession Nunataks",,,"Australia","Nunatak",2406,"AUS",-66.7805555556,98.9197222222,"Nunataks discovered by the Western Base Party of Douglas Mawson's Australasian Antarctic Expedition (1911-14) on 14 December 1912, when they established a depot at the central nunatak. On 25 December 1912 a ceremony was performed by Frank Wild, leader of the Western Base Party, taking possession of Queen Mary Land for the British Crown.","Three small, isolated nunataks approximately 160 m high located about 1 km apart and aligned in a general north-east south-west direction projecting through blue ice just east of the Northcliffe Glacier, Queen Mary Land.",11506,,,,"LIMA - Landsat Image Mosaic Antarctica","USGS - United States Geological Survey",25000,0,"No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Poulton Peak","Poulton Peak",1125.9,,"Australia","Peak",2076,"AUS",-68.0425833333,63.0401944444,,"The highest point on the elongated rock ridge in the north-east part of the Anniversary Nunataks, Mac.Robertson Land.  The summit has the distinctive appearance of a rock cairn.  The peak was used as an unoccupied trigonometrical station by Max J. Corry, surveyor at Mawson in 1965.  Named after M.A. Poulton, weather observer at Mawson in 1965.",11531,,"AUS","fram25k","Framnes Mountains 1:25000 Topographic GIS Dataset","Australian Antarctic Division",2000,0,"No","No","No","No","No","No","No","Yes","Yes","Yes","No","No","No"
"Pourquoi Pas? Glacier","Pourquoi Pas? Glacier",,,"Australia","Glacier",472,"AUS",-66.25,135.916694444,"after the Polar ship used by Charcot of the French Antarctic Expedition (1908-10)","A glacier almost on the boundary of Wilkes Land and Terre Adélie, delineated by French cartographers from air photos taken by USN Operation Highjump (1946-47) and called Glacier du Pourquoi Pas after the Polar ship used by Charcot of the French Antarctic Expedition (1908-10).",11532,,"AUS",,,,,0,"Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Powell Cove","Powell Cove",0,,"Australia","Cove",372,"AUS",-66.254,110.53,,"A cove on the northern side of Stonehocker Point on Clark Peninsula, Budd Coast. The region was photographed by USN Operation Highjump (1946-47), ANARE (1956) and the Soviet Antarctic Expedition (1956). Named by USACAN after chief aerographer J.T. Powell, USN, who was a member of the Wilkes station party in 1957.  ",11542,,"AUS","Wind50K","Windmill Islands 1:50000 GIS Dataset","Australian Antarctic Division",5000,0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Powell Point","Powell Point",26,"Metadata for coordinates and origin of topographic data.","Australia","Point",2199,"AUS",-68.5178888325,78.0941945239,"Named after O.G. Powell, weather observer at Davis in 1970.","A point on the northern side of Broad Peninsula, Vestfold Hills, which forms the southern entrance to Long Fjord.",11545,,"AUS","vest_hills_gis","Vestfold Hills Topographic GIS Dataset","Australian Antarctic Division",5000,0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Prebble Icefalls","Prebble Icefalls",,,"Australia","Icefall",742,"AUS",-79.9,155.8333,,"Icefalls on the southern side of Midnight Plateau in the Darwin Mountains.  They occupy two large cirques and fall about 900 m.  Discovered by the Victoria University of Wellington Antarctic Expedition (1962-63).  Named after W.M. Prebble, geologist with the expedition.",11561,,"AUS",,,,,0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Precarious Point","Precarious Point",0,,"Australia","Point",2697,"AUS",-54.731194,158.795582,,,,,"AUS","MIvegmap,macca_contour_gis","Macquarie Island Vegetation and Drainage Structure Data Set,Mac Island Contours from AIRSAR Aug 2000","Australian Antarctic Division",25000,0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No"
"Preston Point","Preston Point",,,"Australia","Point",2165,"AUS",-70.2796944444,71.7348055556,,"The northern point of Gillock Island in the Amery Ice Shelf.  Delineated from air photographs taken by USN Operation Highjump (1946-47). Named by USACAN after J.C. Preston, air crewman with Operation Highjump.",11577,,"AUS",,,,,0,"No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Price Nunatak","Price Nunatak",1162.5,,"Australia","Nunatak",1819,"AUS",-67.9478055556,62.7163055556,,"An isolated nunatak about 7 km south of the South Masson Range, Mac.Robertson Land.  Mapped by Norwegian cartographers from air photographs taken by the Lars Christensen Expedition (1936-37). Named for H. Price, senior diesel mechanic at Mawson in 1959",11588,,"AUS","fram25k","Framnes Mountains 1:25000 Topographic GIS Dataset","Australian Antarctic Division",2000,0,"No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No"
"Priddy Promontory","Priddy Promontory",26,,"Australia","Promontory",2223,"AUS",-69.4241587677,76.0356591002,"Named after Richard Priddy, Medical Officer and Deputy Leader of the ANARE Larsemann Hills Field Party 1987-88.","The eastern of two promontories to the south-west of Stornes Peninsula in the Larsemann Hills.  Plotted from air photographs taken by the Lars Christensen Expedition 1936-37 and called Storneskloa (Big Cape Claw).",11593,,"AUS","Lars25K","Larsemann Hills 1:25000 Topographic GIS Dataset ","Australian Antarctic Division",25000,0,"No","No","No","No","No","No","No","No","No","Yes","No","No","No"
"Priestley Névé","Priestley Névé",,,"Australia","Neve",1681,"AUS",-73.5833,160.3333,"Raymond E. Priestley, geologist with the Northern Party of the British Antarctic Expedition, 1910-13","The n&#233;v&#233; at the head of the Priestley Glacier in Victoria Land.  Named by the New Zealand Antarctic Place Names Committee in about 1966 in association with the Priestley Glacier.  Priestley Glacier was named after Raymond E. Priestley, geologist with the Northern Party of the British Antarctic Expedition, 1910-13.  The feature lies partly within the Ross Dependency.",11596,,"AUS",,,,,0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Priestley Peak","Priestley Peak",,,"Australia","Peak",1921,"AUS",-67.2,50.3833,"Sir Douglas Mawson named it after Sir Raymond Priestley, a member of Scott's last expedition (1910-13).","A prominent peak in the Scott Mountains, Enderby Land.  Discovered on 14 January, 1930, by BANZARE (1929-31) under Sir Douglas Mawson, who named it after Sir Raymond Priestley, a member of Scott's last expedition (1910-13).",11597,,,,,,,0,"No","No","No","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Prince Charles Mountains","Prince Charles Mountains",,,"Australia","Mountain",1466,"AUS",-71.4271111111,67.2461111111,"The mountains were named after HRH Prince Charles, heir apparent to the British Throne.","A major group of mountains in Mac.Robertson Land, extending about 380 km southwards in an arc from their northern extremity, which is about 320 km SSE of Mawson.  The mountains are situated between 70°10' S and 74°30' S and 60°40' E and 60°00' E.  The mountains were first seen from a distance by airmen of USN Operation Highjump (1946-47).  The exact position of their northern components was first determined by Robert Dovers, Officer-in-Charge at Mawson, 1954, who saw them from the Stinear Nunataks in December, 1954.  The northern range (Athos Range) was first visited by an ANARE party led by J. Béchervaise in December, 1955.  A party led by William Bewsher in the summer of 1956-57 explored and mapped the three northern ranges.  In 1957 a party led by K. Mather reached the Goodspeed Nunataks in the southern part of the mountains.  Parties in 1958 and 1959 made landings from the air.  In 1960 and 1961, parties, led by R. Ruker and D. Trail respectively, made geological surveys of the southern components.  ANARE began a detailed topographical and geological survey of the mountains in 1969 which has continued each summer.",11610,,"AUS",,,,,0,"Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Prince Edward Glacier","Prince Edward Glacier",,,"Australia","Glacier",513,"AUS",-82.7667,159.5333," It is named after Prince Edward, the youngest son of Queen Elizabeth II.","This glacier is totally within the Australian Antarctic Territory.",11613,,,,,,,0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Prince of Wales Glacier","Prince of Wales Glacier",,,"Australia","Glacier",514,"AUS",-82.9167,160,"The glacier is named in honour of the eldest son of Queen Elizabeth II the Prince of Wales.","This glacier lies both within the Australian Antarctic Territory and the Ross Dependency.  It is about 32 km in length and is situated on the north-west side of Mount Markham in the Queen Elizabeth Range, forming an access route from the Marsh to the Nimrod Glaciers.",11618,,,,,,,0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Prince Philip Glacier","Prince Philip Glacier",,,"Australia","Glacier",516,"AUS",-82.35,159.9167," It is named in honour of Prince Philip, the Duke of Edinburgh and husband of Queen Elizabeth II.","This glacier  lies mainly in the Ross Dependency.  It is approximately 48 km in length and feeds the gigantic Nimrod Glacier.",11621,,,,,,,0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Princess Anne Glacier","Princess Anne Glacier",,,"Australia","Glacier",515,"AUS",-82.9833,159.3333,"The Glacier is named in honour of Princess Anne, the daughter of Queen Elizabeth II.","This glacier lies both within the Australian Antarctic Territory and the Ross Dependency.  It is approximately 24 km in length and is situated at the west side of the Queen Elizabeth Range, between the Cotton and Bartrum Plateaux.  Low passes connect with the Prince of Wales Glacier and the Rabot Glacier.",11622,,,,,,,0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Princess Elizabeth Land","Princess Elizabeth Land",,,"Australia","Land",1289,"AUS",-68.5,80.3666944444,,"The sector of Antarctica between longitude 73ºE longitude and Cape Penck (87º 55' 20"" E longitude).  Discovered on 9 February 1931 by BANZARE (1929-31) under Sir Douglas Mawson.  Named by Mawson after H.R.H. Princess Elizabeth (now H.M. Queen Elizabeth II).",11624,,,,,,,0,"Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No"
"Prion Lake","Prion Lake",0,,"Australia","Water body",2698,"AUS",-54.593581,158.891397,"Named because of a near-by nesting ground of prions.","Named because of a near-by nesting ground of prions. The name was on the map prepared by Leslie Russel Blake, surveyor in 1914.",,,"AUS","MIvegmap,macca_contour_gis","Macquarie Island Vegetation and Drainage Structure Data Set,Mac Island Contours from AIRSAR Aug 2000","Australian Antarctic Division",25000,0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No"
"Prior Bluff","Prior Bluff",,,"Australia","Bluff",200,"AUS",-73.2080555556,68.2452777778,,"A rock bluff in the central part of the Mawson Escarpment, between Manning Glacier and Greenall Glacier.  Plotted from ANARE air photographs taken in 1956, 1960 and 1973. Named after L.S. Prior, (then) Assistant Director, Geophysics, of the (then) Bureau of Mineral Resources, Geology and Geophysics, Australian Department of Minerals and Energy.",11631,,"AUS","E133_CIR_432_1X","Landsat Image Mosaic Antarctica (LIMA)","United States Geological Survey (USGS)",25000,0,"No","No","No","No","Yes","No","No","No","No","No","No","No","No"
